reading_id,site_id,period,metric_code,value,uom,period_type,source_system,submitted_at
1046,101,2024-08,WATER_WD,10173.6,m3,M,SITE_PORTAL,2024-09-10
1051,101,2024-09,ENERGY_CONS,2107.99,MWh,M,SITE_PORTAL,2024-10-16
1054,101,2024-09,HOURS_WORKED,171694,hours,M,SAP_EHS,2024-10-10
1049,101,2024-09,SCOPE1_GHG,443.781,t,M,SITE_PORTAL,2024-10-18
1050,101,2024-09,SCOPE2_GHG,331.973,t,M,SITE_PORTAL,2024-10-18
1053,101,2024-09,WASTE_TOTAL,145.333,t,M,MANUAL_XLS,2024-10-11
1052,101,2024-09,WATER_WD,11043.6,m3,M,MANUAL_XLS,2024-10-09
1057,101,2024-10,ENERGY_CONS,2273.91,MWh,M,SAP_EHS,2024-11-13
1060,101,2024-10,HOURS_WORKED,167104,hours,M,SAP_EHS,2024-11-13
1055,101,2024-10,SCOPE1_GHG,498.413,t,M,MANUAL_XLS,2024-11-20
1056,101,2024-10,SCOPE2_GHG,374.315,t,M,MANUAL_XLS,2024-11-13
1059,101,2024-10,WASTE_TOTAL,167.436,t,M,SAP_EHS,2024-11-16
1058,101,2024-10,WATER_WD,12807.4,m3,M,SAP_EHS,2024-11-14
1063,101,2024-11,ENERGY_CONS,2499.39,MWh,M,MANUAL_XLS,2024-12-11
1066,101,2024-11,HOURS_WORKED,168198,hours,M,SAP_EHS,2024-12-19
1061,101,2024-11,SCOPE1_GHG,505.829,t,M,SITE_PORTAL,2024-12-15
1062,101,2024-11,SCOPE2_GHG,372.822,t,M,SITE_PORTAL,2024-12-12
1065,101,2024-11,WASTE_TOTAL,172.723,t,M,SAP_EHS,2024-12-16
1064,101,2024-11,WATER_WD,12098.6,m3,M,MANUAL_XLS,2024-12-11
1069,101,2024-12,ENERGY_CONS,2542.47,MWh,M,MANUAL_XLS,2025-01-11
1072,101,2024-12,HOURS_WORKED,178563,hours,M,SAP_EHS,2025-01-12
1067,101,2024-12,SCOPE1_GHG,636.671,t,M,MANUAL_XLS,2025-01-18
1068,101,2024-12,SCOPE2_GHG,433.727,t,M,SAP_EHS,2025-01-15
1071,101,2024-12,WASTE_TOTAL,208.646,t,M,SITE_PORTAL,2025-01-10
1070,101,2024-12,WATER_WD,14368,m3,M,MANUAL_XLS,2025-01-15
1075,101,2025-01,ENERGY_CONS,2388.84,MWh,M,MANUAL_XLS,2025-02-15
1078,101,2025-01,HOURS_WORKED,167356,hours,M,SAP_EHS,2025-02-12
1073,101,2025-01,SCOPE1_GHG,606.343,t,M,MANUAL_XLS,2025-02-18
2667,101,2025-01,SCOPE1_GHG,685.944,t,M,MANUAL_XLS,2025-04-04
1074,101,2025-01,SCOPE2_GHG,401.426,t,M,SAP_EHS,2025-02-10
2668,101,2025-01,SCOPE2_GHG,438.718,t,M,MANUAL_XLS,2025-03-27
1077,101,2025-01,WASTE_TOTAL,168.198,t,M,MANUAL_XLS,2025-02-16
1076,101,2025-01,WATER_WD,13507.2,m3,M,SITE_PORTAL,2025-02-15
1081,101,2025-02,ENERGY_CONS,2285.29,MWh,M,MANUAL_XLS,2025-03-20
1084,101,2025-02,HOURS_WORKED,176326,hours,M,SAP_EHS,2025-03-12
1079,101,2025-02,SCOPE1_GHG,568.86,t,M,MANUAL_XLS,2025-03-18
2669,101,2025-02,SCOPE1_GHG,620.195,t,M,MANUAL_XLS,2025-05-02
1080,101,2025-02,SCOPE2_GHG,370.988,t,M,SAP_EHS,2025-03-08
2670,101,2025-02,SCOPE2_GHG,446.221,t,M,MANUAL_XLS,2025-04-22
1083,101,2025-02,WASTE_TOTAL,188.397,t,M,MANUAL_XLS,2025-03-10
1082,101,2025-02,WATER_WD,11215.5,m3,M,MANUAL_XLS,2025-03-18
1087,101,2025-03,ENERGY_CONS,2225.29,MWh,M,MANUAL_XLS,2025-04-10
1090,101,2025-03,HOURS_WORKED,167862,hours,M,SAP_EHS,2025-04-18
1085,101,2025-03,SCOPE1_GHG,475.191,t,M,SAP_EHS,2025-04-09
2671,101,2025-03,SCOPE1_GHG,571.248,t,M,MANUAL_XLS,2025-05-24
1086,101,2025-03,SCOPE2_GHG,382.452,t,M,SAP_EHS,2025-04-15
2672,101,2025-03,SCOPE2_GHG,465.986,t,M,MANUAL_XLS,2025-05-30
1089,101,2025-03,WASTE_TOTAL,159.321,t,M,SITE_PORTAL,2025-04-12
1088,101,2025-03,WATER_WD,11412.1,m3,M,SITE_PORTAL,2025-04-09
1093,101,2025-04,ENERGY_CONS,1922.04,MWh,M,SAP_EHS,2025-05-13
1096,101,2025-04,HOURS_WORKED,175515,hours,M,SAP_EHS,2025-05-10
1091,101,2025-04,SCOPE1_GHG,474.264,t,M,MANUAL_XLS,2025-05-19
1092,101,2025-04,SCOPE2_GHG,351.926,t,M,SITE_PORTAL,2025-05-18
1095,101,2025-04,WASTE_TOTAL,155.81,t,M,SITE_PORTAL,2025-05-17
1094,101,2025-04,WATER_WD,10067.8,m3,M,SITE_PORTAL,2025-05-20
1099,101,2025-05,ENERGY_CONS,2086.32,MWh,M,SITE_PORTAL,2025-06-18
1102,101,2025-05,HOURS_WORKED,177738,hours,M,SAP_EHS,2025-06-16
1097,101,2025-05,SCOPE1_GHG,430.707,t,M,SITE_PORTAL,2025-06-11
1098,101,2025-05,SCOPE2_GHG,349.907,t,M,SITE_PORTAL,2025-06-16
1101,101,2025-05,WASTE_TOTAL,144.233,t,M,SAP_EHS,2025-06-15
1100,101,2025-05,WATER_WD,9520.04,m3,M,SITE_PORTAL,2025-06-08
1105,101,2025-06,ENERGY_CONS,1967.6,MWh,M,SAP_EHS,2025-07-12
1108,101,2025-06,HOURS_WORKED,180512,hours,M,SAP_EHS,2025-07-12
1103,101,2025-06,SCOPE1_GHG,405.606,t,M,MANUAL_XLS,2025-07-17
1104,101,2025-06,SCOPE2_GHG,290.992,t,M,MANUAL_XLS,2025-07-11
1107,101,2025-06,WASTE_TOTAL,154.599,t,M,SITE_PORTAL,2025-07-20
1106,101,2025-06,WATER_WD,9774.64,m3,M,SITE_PORTAL,2025-07-18
1111,101,2025-07,ENERGY_CONS,2012.84,MWh,M,SITE_PORTAL,2025-08-18
1114,101,2025-07,HOURS_WORKED,169731,hours,M,SAP_EHS,2025-08-08
1109,101,2025-07,SCOPE1_GHG,424.73,t,M,MANUAL_XLS,2025-08-09
1110,101,2025-07,SCOPE2_GHG,287.686,t,M,MANUAL_XLS,2025-08-19
1113,101,2025-07,WASTE_TOTAL,130.08,t,M,SAP_EHS,2025-08-10
1112,101,2025-07,WATER_WD,9573.94,m3,M,SITE_PORTAL,2025-08-13
1117,101,2025-08,ENERGY_CONS,1954.3,MWh,M,SITE_PORTAL,2025-09-20
1120,101,2025-08,HOURS_WORKED,172407,hours,M,SAP_EHS,2025-09-13
1115,101,2025-08,SCOPE1_GHG,377.888,t,M,SITE_PORTAL,2025-09-15
1116,101,2025-08,SCOPE2_GHG,307.948,t,M,SAP_EHS,2025-09-10
1119,101,2025-08,WASTE_TOTAL,134.436,t,M,SITE_PORTAL,2025-09-15
1118,101,2025-08,WATER_WD,10114.8,m3,M,MANUAL_XLS,2025-09-14
1123,101,2025-09,ENERGY_CONS,2047.68,MWh,M,SAP_EHS,2025-10-11
1126,101,2025-09,HOURS_WORKED,168941,hours,M,SAP_EHS,2025-10-17
1121,101,2025-09,SCOPE1_GHG,460.545,t,M,SAP_EHS,2025-10-13
1122,101,2025-09,SCOPE2_GHG,327.705,t,M,MANUAL_XLS,2025-10-17
1125,101,2025-09,WASTE_TOTAL,138.532,t,M,SAP_EHS,2025-10-09
1124,101,2025-09,WATER_WD,10494.5,m3,M,MANUAL_XLS,2025-10-08
1129,101,2025-10,ENERGY_CONS,2280.88,MWh,M,SITE_PORTAL,2025-11-10
1132,101,2025-10,HOURS_WORKED,166241,hours,M,SAP_EHS,2025-11-11
1127,101,2025-10,SCOPE1_GHG,510.118,t,M,SITE_PORTAL,2025-11-16
1128,101,2025-10,SCOPE2_GHG,337.535,t,M,SAP_EHS,2025-11-09
1131,101,2025-10,WASTE_TOTAL,178.278,t,M,SITE_PORTAL,2025-11-17
1130,101,2025-10,WATER_WD,11140.6,m3,M,SAP_EHS,2025-11-16
1135,101,2025-11,ENERGY_CONS,2245.59,MWh,M,MANUAL_XLS,2025-12-14
1138,101,2025-11,HOURS_WORKED,169608,hours,M,SAP_EHS,2025-12-11
1133,101,2025-11,SCOPE1_GHG,540.167,t,M,MANUAL_XLS,2025-12-15
1134,101,2025-11,SCOPE2_GHG,354.277,t,M,SITE_PORTAL,2025-12-20
1137,101,2025-11,WASTE_TOTAL,157.12,t,M,MANUAL_XLS,2025-12-16
1136,101,2025-11,WATER_WD,11258.1,m3,M,SITE_PORTAL,2025-12-13
1141,101,2025-12,ENERGY_CONS,2514.42,MWh,M,SAP_EHS,2026-01-20
1144,101,2025-12,HOURS_WORKED,178188,hours,M,SAP_EHS,2026-01-09
1139,101,2025-12,SCOPE1_GHG,510.323,t,M,MANUAL_XLS,2026-01-17
1140,101,2025-12,SCOPE2_GHG,413.372,t,M,SAP_EHS,2026-01-20
1143,101,2025-12,WASTE_TOTAL,190.842,t,M,SAP_EHS,2026-01-16
1142,101,2025-12,WATER_WD,13102,m3,M,SITE_PORTAL,2026-01-12
1147,102,2024-01,ENERGY_CONS,1822.73,MWh,M,SAP_EHS,2024-02-13
1150,102,2024-01,HOURS_WORKED,120894,hours,M,SAP_EHS,2024-02-20
1145,102,2024-01,SCOPE1_GHG,447.121,t,M,SAP_EHS,2024-02-10
1146,102,2024-01,SCOPE2_GHG,319.247,t,M,SAP_EHS,2024-02-14
1149,102,2024-01,WASTE_TOTAL,142.369,t,M,MANUAL_XLS,2024-02-20
1148,102,2024-01,WATER_WD,9.25334e+06,l,M,MANUAL_XLS,2024-02-08
1153,102,2024-02,ENERGY_CONS,1898.49,MWh,M,SITE_PORTAL,2024-03-10
1156,102,2024-02,HOURS_WORKED,128703,hours,M,SAP_EHS,2024-03-08
1151,102,2024-02,SCOPE1_GHG,413.948,t,M,SAP_EHS,2024-03-10
1152,102,2024-02,SCOPE2_GHG,288.425,t,M,MANUAL_XLS,2024-03-12
1155,102,2024-02,WASTE_TOTAL,142.256,t,M,SAP_EHS,2024-03-15
1154,102,2024-02,WATER_WD,8.51465e+06,l,M,SAP_EHS,2024-03-20
1159,102,2024-03,ENERGY_CONS,1804.32,MWh,M,SITE_PORTAL,2024-04-13
1162,102,2024-03,HOURS_WORKED,124465,hours,M,SAP_EHS,2024-04-11
1157,102,2024-03,SCOPE1_GHG,387.718,t,M,MANUAL_XLS,2024-04-12
1158,102,2024-03,SCOPE2_GHG,300.986,t,M,SAP_EHS,2024-04-13
1161,102,2024-03,WASTE_TOTAL,113.707,t,M,SITE_PORTAL,2024-04-17
1160,102,2024-03,WATER_WD,8.26758e+06,l,M,SITE_PORTAL,2024-04-19
1165,102,2024-04,ENERGY_CONS,1502.78,MWh,M,SAP_EHS,2024-05-13
1168,102,2024-04,HOURS_WORKED,126173,hours,M,SAP_EHS,2024-05-15
1163,102,2024-04,SCOPE1_GHG,322.741,t,M,MANUAL_XLS,2024-05-08
1164,102,2024-04,SCOPE2_GHG,270.988,t,M,SAP_EHS,2024-05-18
1167,102,2024-04,WASTE_TOTAL,125.138,t,M,SITE_PORTAL,2024-05-14
1166,102,2024-04,WATER_WD,7.47232e+06,l,M,SITE_PORTAL,2024-05-09
1171,102,2024-05,ENERGY_CONS,1479.85,MWh,M,SAP_EHS,2024-06-16
1174,102,2024-05,HOURS_WORKED,120351,hours,M,SAP_EHS,2024-06-17
1169,102,2024-05,SCOPE1_GHG,307.526,t,M,SAP_EHS,2024-06-20
1170,102,2024-05,SCOPE2_GHG,224.882,t,M,MANUAL_XLS,2024-06-17
1173,102,2024-05,WASTE_TOTAL,103.131,t,M,SAP_EHS,2024-06-09
1172,102,2024-05,WATER_WD,7.49428e+06,l,M,MANUAL_XLS,2024-06-17
1177,102,2024-06,ENERGY_CONS,1370.21,MWh,M,SITE_PORTAL,2024-07-13
1180,102,2024-06,HOURS_WORKED,122458,hours,M,SAP_EHS,2024-07-18
1175,102,2024-06,SCOPE1_GHG,318.549,t,M,SITE_PORTAL,2024-07-15
1176,102,2024-06,SCOPE2_GHG,223.776,t,M,MANUAL_XLS,2024-07-13
1179,102,2024-06,WASTE_TOTAL,104.836,t,M,SITE_PORTAL,2024-07-15
1178,102,2024-06,WATER_WD,7.95914e+06,l,M,MANUAL_XLS,2024-07-11
1183,102,2024-07,ENERGY_CONS,1439.2,MWh,M,MANUAL_XLS,2024-08-18
1186,102,2024-07,HOURS_WORKED,128688,hours,M,SAP_EHS,2024-08-08
1181,102,2024-07,SCOPE1_GHG,285.603,t,M,MANUAL_XLS,2024-08-17
1182,102,2024-07,SCOPE2_GHG,244.541,t,M,MANUAL_XLS,2024-08-10
1185,102,2024-07,WASTE_TOTAL,,t,M,SAP_EHS,2024-08-15
1184,102,2024-07,WATER_WD,7.03131e+06,l,M,MANUAL_XLS,2024-08-14
1189,102,2024-08,ENERGY_CONS,1371.6,MWh,M,SAP_EHS,2024-09-13
1192,102,2024-08,HOURS_WORKED,119888,hours,M,SAP_EHS,2024-09-09
1187,102,2024-08,SCOPE1_GHG,282.523,t,M,SAP_EHS,2024-09-14
1188,102,2024-08,SCOPE2_GHG,217.592,t,M,MANUAL_XLS,2024-09-14
1191,102,2024-08,WASTE_TOTAL,106.215,t,M,MANUAL_XLS,2024-09-08
1190,102,2024-08,WATER_WD,6.96093e+06,l,M,SAP_EHS,2024-09-20
1195,102,2024-09,ENERGY_CONS,1569.86,MWh,M,SAP_EHS,2024-10-11
1198,102,2024-09,HOURS_WORKED,126794,hours,M,SAP_EHS,2024-10-12
1193,102,2024-09,SCOPE1_GHG,346.623,t,M,MANUAL_XLS,2024-10-12
1194,102,2024-09,SCOPE2_GHG,270.256,t,M,SITE_PORTAL,2024-10-17
1197,102,2024-09,WASTE_TOTAL,114.099,t,M,SAP_EHS,2024-10-10
1196,102,2024-09,WATER_WD,7.54403e+06,l,M,MANUAL_XLS,2024-10-18
1201,102,2024-10,ENERGY_CONS,1645.11,MWh,M,SITE_PORTAL,2024-11-14
1204,102,2024-10,HOURS_WORKED,120535,hours,M,SAP_EHS,2024-11-15
1199,102,2024-10,SCOPE1_GHG,400.273,t,M,SAP_EHS,2024-11-12
1200,102,2024-10,SCOPE2_GHG,245.612,t,M,SITE_PORTAL,2024-11-14
1203,102,2024-10,WASTE_TOTAL,122.081,t,M,SITE_PORTAL,2024-11-15
1202,102,2024-10,WATER_WD,8.00942e+06,l,M,SITE_PORTAL,2024-11-10
1207,102,2024-11,ENERGY_CONS,1649.71,MWh,M,MANUAL_XLS,2024-12-14
1210,102,2024-11,HOURS_WORKED,122677,hours,M,SAP_EHS,2024-12-14
1205,102,2024-11,SCOPE1_GHG,405.15,t,M,MANUAL_XLS,2024-12-13
1206,102,2024-11,SCOPE2_GHG,289.327,t,M,MANUAL_XLS,2024-12-15
1209,102,2024-11,WASTE_TOTAL,126.55,t,M,SAP_EHS,2024-12-10
1208,102,2024-11,WATER_WD,8.62876e+06,l,M,SAP_EHS,2024-12-13
1213,102,2024-12,ENERGY_CONS,1959.78,MWh,M,SITE_PORTAL,2025-01-18
1216,102,2024-12,HOURS_WORKED,117965,hours,M,SAP_EHS,2025-01-19
1211,102,2024-12,SCOPE1_GHG,415.519,t,M,SAP_EHS,2025-01-09
1212,102,2024-12,SCOPE2_GHG,275.138,t,M,SITE_PORTAL,2025-01-18
1215,102,2024-12,WASTE_TOTAL,125.019,t,M,MANUAL_XLS,2025-01-19
1214,102,2024-12,WATER_WD,8.49127e+06,l,M,SAP_EHS,2025-01-16
1219,102,2025-01,ENERGY_CONS,1862.57,MWh,M,MANUAL_XLS,2025-02-12
1222,102,2025-01,HOURS_WORKED,129154,hours,M,SAP_EHS,2025-02-18
1217,102,2025-01,SCOPE1_GHG,369.025,t,M,SAP_EHS,2025-02-10
1218,102,2025-01,SCOPE2_GHG,270.197,t,M,SAP_EHS,2025-02-13
1221,102,2025-01,WASTE_TOTAL,140.619,t,M,MANUAL_XLS,2025-02-20
1220,102,2025-01,WATER_WD,9.67429e+06,l,M,SITE_PORTAL,2025-02-20
1225,102,2025-02,ENERGY_CONS,1816.92,MWh,M,MANUAL_XLS,2025-03-13
1228,102,2025-02,HOURS_WORKED,126709,hours,M,SAP_EHS,2025-03-13
1223,102,2025-02,SCOPE1_GHG,373.734,t,M,SAP_EHS,2025-03-09
1224,102,2025-02,SCOPE2_GHG,301.995,t,M,SITE_PORTAL,2025-03-20
1227,102,2025-02,WASTE_TOTAL,120.259,t,M,SITE_PORTAL,2025-03-17
1226,102,2025-02,WATER_WD,9.132e+06,l,M,SAP_EHS,2025-03-19
1231,102,2025-03,ENERGY_CONS,1689.6,MWh,M,SITE_PORTAL,2025-04-17
1234,102,2025-03,HOURS_WORKED,127144,hours,M,SAP_EHS,2025-04-12
1229,102,2025-03,SCOPE1_GHG,361.982,t,M,MANUAL_XLS,2025-04-12
1230,102,2025-03,SCOPE2_GHG,278.927,t,M,MANUAL_XLS,2025-04-08
1233,102,2025-03,WASTE_TOTAL,111.776,t,M,SAP_EHS,2025-04-08
1232,102,2025-03,WATER_WD,8.53163e+06,l,M,SITE_PORTAL,2025-04-08
1237,102,2025-04,ENERGY_CONS,1535.47,MWh,M,MANUAL_XLS,2025-05-09
1240,102,2025-04,HOURS_WORKED,123723,hours,M,SAP_EHS,2025-05-20
1235,102,2025-04,SCOPE1_GHG,338.326,t,M,SITE_PORTAL,2025-05-20
1236,102,2025-04,SCOPE2_GHG,240.1,t,M,SITE_PORTAL,2025-05-16
1239,102,2025-04,WASTE_TOTAL,104.592,t,M,SAP_EHS,2025-05-17
1238,102,2025-04,WATER_WD,6.8031e+06,l,M,SITE_PORTAL,2025-05-15
1243,102,2025-05,ENERGY_CONS,1401.46,MWh,M,SAP_EHS,2025-06-17
1246,102,2025-05,HOURS_WORKED,117594,hours,M,SAP_EHS,2025-06-11
1241,102,2025-05,SCOPE1_GHG,294.636,t,M,MANUAL_XLS,2025-06-17
1242,102,2025-05,SCOPE2_GHG,218.554,t,M,SAP_EHS,2025-06-20
1245,102,2025-05,WASTE_TOTAL,111.605,t,M,SITE_PORTAL,2025-06-11
1244,102,2025-05,WATER_WD,6.49257e+06,l,M,MANUAL_XLS,2025-06-13
1249,102,2025-06,ENERGY_CONS,1281.96,MWh,M,MANUAL_XLS,2025-07-08
1252,102,2025-06,HOURS_WORKED,124203,hours,M,SAP_EHS,2025-07-19
1247,102,2025-06,SCOPE1_GHG,311.919,t,M,SITE_PORTAL,2025-07-15
1248,102,2025-06,SCOPE2_GHG,209.54,t,M,SAP_EHS,2025-07-19
1251,102,2025-06,WASTE_TOTAL,91.024,t,M,SAP_EHS,2025-07-11
1250,102,2025-06,WATER_WD,7.04639e+06,l,M,SAP_EHS,2025-07-19
1255,102,2025-07,ENERGY_CONS,1304.94,MWh,M,SITE_PORTAL,2025-08-16
1258,102,2025-07,HOURS_WORKED,123270,hours,M,SAP_EHS,2025-08-14
1253,102,2025-07,SCOPE1_GHG,301.808,t,M,SITE_PORTAL,2025-08-13
1254,102,2025-07,SCOPE2_GHG,198.534,t,M,SAP_EHS,2025-08-11
1257,102,2025-07,WASTE_TOTAL,96.723,t,M,SITE_PORTAL,2025-08-08
1256,102,2025-07,WATER_WD,6.21268e+06,l,M,MANUAL_XLS,2025-08-11
1261,102,2025-08,ENERGY_CONS,1383.67,MWh,M,MANUAL_XLS,2025-09-14
1264,102,2025-08,HOURS_WORKED,121069,hours,M,SAP_EHS,2025-09-16
1259,102,2025-08,SCOPE1_GHG,315.624,t,M,SAP_EHS,2025-09-18
1260,102,2025-08,SCOPE2_GHG,227.891,t,M,MANUAL_XLS,2025-09-08
1263,102,2025-08,WASTE_TOTAL,90.252,t,M,MANUAL_XLS,2025-09-19
1262,102,2025-08,WATER_WD,6.68644e+06,l,M,MANUAL_XLS,2025-09-16
1267,102,2025-09,ENERGY_CONS,1364.52,MWh,M,SAP_EHS,2025-10-14
1270,102,2025-09,HOURS_WORKED,122205,hours,M,SAP_EHS,2025-10-15
1265,102,2025-09,SCOPE1_GHG,336.837,t,M,MANUAL_XLS,2025-10-08
1266,102,2025-09,SCOPE2_GHG,227.891,t,M,SAP_EHS,2025-10-10
1269,102,2025-09,WASTE_TOTAL,114.183,t,M,SAP_EHS,2025-10-08
1268,102,2025-09,WATER_WD,6.56764e+06,l,M,MANUAL_XLS,2025-10-10
1273,102,2025-10,ENERGY_CONS,1608.78,MWh,M,MANUAL_XLS,2025-11-17
1276,102,2025-10,HOURS_WORKED,121591,hours,M,SAP_EHS,2025-11-12
1271,102,2025-10,SCOPE1_GHG,323.539,t,M,SITE_PORTAL,2025-11-16
1272,102,2025-10,SCOPE2_GHG,237.981,t,M,SITE_PORTAL,2025-11-15
1275,102,2025-10,WASTE_TOTAL,122.722,t,M,SITE_PORTAL,2025-11-12
1274,102,2025-10,WATER_WD,7.99459e+06,l,M,SITE_PORTAL,2025-11-16
1279,102,2025-11,ENERGY_CONS,1759.47,MWh,M,MANUAL_XLS,2025-12-15
1282,102,2025-11,HOURS_WORKED,126072,hours,M,SAP_EHS,2025-12-15
1277,102,2025-11,SCOPE1_GHG,381.818,t,M,SAP_EHS,2025-12-16
1278,102,2025-11,SCOPE2_GHG,259.645,t,M,MANUAL_XLS,2025-12-10
1281,102,2025-11,WASTE_TOTAL,134.492,t,M,MANUAL_XLS,2025-12-12
1280,102,2025-11,WATER_WD,7.52709e+06,l,M,SAP_EHS,2025-12-08
1285,102,2025-12,ENERGY_CONS,1694.73,MWh,M,MANUAL_XLS,2026-01-14
1288,102,2025-12,HOURS_WORKED,120237,hours,M,SAP_EHS,2026-01-18
1283,102,2025-12,SCOPE1_GHG,375.461,t,M,SITE_PORTAL,2026-01-15
1284,102,2025-12,SCOPE2_GHG,315.284,t,M,SAP_EHS,2026-01-10
1287,102,2025-12,WASTE_TOTAL,136.626,t,M,MANUAL_XLS,2026-01-08
1286,102,2025-12,WATER_WD,8.3807e+06,l,M,SAP_EHS,2026-01-08
1291,103,2024-01,ENERGY_CONS,1278.22,MWh,M,MANUAL_XLS,2024-02-19
1294,103,2024-01,HOURS_WORKED,97236.4,hours,M,SAP_EHS,2024-02-15
1289,103,2024-01,SCOPE1_GHG,335.164,t,M,SITE_PORTAL,2024-02-16
1290,103,2024-01,SCOPE2_GHG,247.593,t,M,MANUAL_XLS,2024-02-14
1293,103,2024-01,WASTE_TOTAL,96.514,t,M,SAP_EHS,2024-02-08
1292,103,2024-01,WATER_WD,6554.18,m3,M,SITE_PORTAL,2024-02-08
1297,103,2024-02,ENERGY_CONS,1352.22,MWh,M,SITE_PORTAL,2024-03-11
1300,103,2024-02,HOURS_WORKED,93855.7,hours,M,SAP_EHS,2024-03-10
1295,103,2024-02,SCOPE1_GHG,292.616,t,M,SAP_EHS,2024-03-18
1296,103,2024-02,SCOPE2_GHG,232.916,t,M,SAP_EHS,2024-03-13
1299,103,2024-02,WASTE_TOTAL,110.468,t,M,SITE_PORTAL,2024-03-18
1298,103,2024-02,WATER_WD,6690.47,m3,M,SAP_EHS,2024-03-09
1303,103,2024-03,ENERGY_CONS,1287.06,MWh,M,MANUAL_XLS,2024-04-08
1306,103,2024-03,HOURS_WORKED,95920.8,hours,M,SAP_EHS,2024-04-17
